constIndex:556|prop_cyberport|localPosition.x:-0025.61611|localPosition.y:-0027.77295|localPosition.z:0039.67560|localRotation.x:-0000.50000|localRotation.y:-0000.50000|localRotation.z:-0000.50000|localRotation.w:0000.50000|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:582|prop_shelves|localPosition.x:0037.17589|localPosition.y:-0029.42682|localPosition.z:0005.33660|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:548|prop_computer (6)|localPosition.x:-0028.44611|localPosition.y:-0028.70895|localPosition.z:0035.46060|localRotation.x:0000.00000|localRotation.y:-0001.00000|localRotation.z:0000.00000|localRotation.w:0000.00000|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:586|prop_table (6)|localPosition.x:-0028.19611|localPosition.y:-0029.74895|localPosition.z:0035.44060|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:586|prop_table (5)|localPosition.x:-0028.19611|localPosition.y:-0029.74895|localPosition.z:0036.87060|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:548|prop_computer (5)|localPosition.x:-0028.44611|localPosition.y:-0028.70895|localPosition.z:0036.89060|localRotation.x:0000.00000|localRotation.y:-0001.00000|localRotation.z:0000.00000|localRotation.w:0000.00000|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:586|prop_table (3)|localPosition.x:-0012.50611|localPosition.y:-0029.74895|localPosition.z:0034.70060|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:548|prop_computer (3)|localPosition.x:-0012.19611|localPosition.y:-0028.70895|localPosition.z:0034.72060|localRotation.x:0000.00000|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0001.00000|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:548|prop_computer (2)|localPosition.x:-0012.19611|localPosition.y:-0028.70895|localPosition.z:0033.01060|localRotation.x:0000.00000|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0001.00000|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:586|prop_table (2)|localPosition.x:-0012.50611|localPosition.y:-0029.74895|localPosition.z:0032.99060|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:586|prop_table (1)|localPosition.x:-0021.54611|localPosition.y:-0029.74553|localPosition.z:0038.57060|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:548|prop_computer (1)|localPosition.x:-0021.56611|localPosition.y:-0028.71079|localPosition.z:0038.73060|localRotation.x:0000.00000|localRotation.y:-0000.70711|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:548|prop_computer|localPosition.x:-0020.12411|localPosition.y:-0028.71079|localPosition.z:0038.73060|localRotation.x:0000.00000|localRotation.y:-0000.70711|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:586|prop_table|localPosition.x:-0020.10411|localPosition.y:-0029.74553|localPosition.z:0038.57060|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:557|prop_desk01|localPosition.x:-0007.15111|localPosition.y:-0029.43295|localPosition.z:0048.22060|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:586|prop_table|localPosition.x:-0015.38211|localPosition.y:-0029.43295|localPosition.z:0040.87660|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:548|prop_computer|localPosition.x:-0015.47855|localPosition.y:-0028.40377|localPosition.z:0040.86059|localRotation.x:0000.00000|localRotation.y:0001.00000|localRotation.z:0000.00000|localRotation.w:0000.00000|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:586|prop_table|localPosition.x:0020.49389|localPosition.y:-0029.42713|localPosition.z:0028.16681|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:675|decal_logo_research|localPosition.x:0007.66589|localPosition.y:-0028.61495|localPosition.z:0037.12560|localRotation.x:0000.00000|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0001.00000|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:675|decal_logo_research|localPosition.x:0026.88789|localPosition.y:-0027.86895|localPosition.z:0000.01360|localRotation.x:0000.00000|localRotation.y:0000.70711|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:675|decal_logo_research (1)|localPosition.x:0026.89389|localPosition.y:-0027.86895|localPosition.z:0005.17060|localRotation.x:0000.00000|localRotation.y:0000.70711|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:675|decal_logo_research (2)|localPosition.x:-0003.84311|localPosition.y:-0027.90495|localPosition.z:0015.32760|localRotation.x:0000.00000|localRotation.y:-0000.70711|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:675|decal_logo_research (3)|localPosition.x:0007.69989|localPosition.y:-0028.45095|localPosition.z:0026.87160|localRotation.x:0000.00000|localRotation.y:0001.00000|localRotation.z:0000.00000|localRotation.w:0000.00000|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:673|decal_logo_medical|localPosition.x:0037.11889|localPosition.y:-0025.50895|localPosition.z:0012.77060|localRotation.x:0000.00000|localRotation.y:-0000.70711|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:673|decal_logo_medical (1)|localPosition.x:0035.87689|localPosition.y:-0025.50895|localPosition.z:0016.63860|localRotation.x:0000.00000|localRotation.y:0001.00000|localRotation.z:0000.00000|localRotation.w:0000.00000|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:557|prop_desk01 (1)|localPosition.x:0035.96889|localPosition.y:-0029.42895|localPosition.z:-0012.64640|localRotation.x:-0000.50000|localRotation.y:-0000.50000|localRotation.z:-0000.50000|localRotation.w:0000.50000|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:557|prop_desk01 (2)|localPosition.x:0034.09589|localPosition.y:-0028.75295|localPosition.z:-0010.60840|localRotation.x:0000.64188|localRotation.y:-0000.64188|localRotation.z:0000.29663|localRotation.w:-0000.29663|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:557|prop_desk01|localPosition.x:0013.39189|localPosition.y:-0029.42638|localPosition.z:-0030.31440|localRotation.x:0000.00000|localRotation.y:0000.70711|localRotation.z:0000.70711|localRotation.w:0000.00000|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:557|prop_desk01 (1)|localPosition.x:0015.89489|localPosition.y:-0029.42895|localPosition.z:-0018.09240|localRotation.x:0000.00000|localRotation.y:0000.70711|localRotation.z:0000.70711|localRotation.w:0000.00000|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:557|prop_desk01 (2)|localPosition.x:0014.38689|localPosition.y:-0029.42895|localPosition.z:-0018.14240|localRotation.x:-0000.04255|localRotation.y:-0000.70583|localRotation.z:-0000.70583|localRotation.w:0000.04255|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:557|prop_desk01 (3)|localPosition.x:0012.79989|localPosition.y:-0029.42895|localPosition.z:-0018.14240|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:557|prop_desk01 (4)|localPosition.x:0015.28589|localPosition.y:-0029.42895|localPosition.z:-0023.24940|localRotation.x:-0000.50000|localRotation.y:-0000.50000|localRotation.z:-0000.50000|localRotation.w:0000.50000|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:557|prop_desk01 (6)|localPosition.x:0010.37289|localPosition.y:-0029.42895|localPosition.z:-0017.87440|localRotation.x:-0000.43241|localRotation.y:-0000.55948|localRotation.z:-0000.55948|localRotation.w:0000.43241|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:586|prop_table (6)|localPosition.x:0041.27789|localPosition.y:-0029.42721|localPosition.z:-0022.27740|localRotation.x:-0000.65328|localRotation.y:0000.27060|localRotation.z:0000.27060|localRotation.w:0000.65328|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:586|prop_table (5)|localPosition.x:0052.18589|localPosition.y:-0029.23895|localPosition.z:-0022.37940|localRotation.x:0000.14984|localRotation.y:-0000.58169|localRotation.z:-0000.11007|localRotation.w:-0000.79188|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:586|prop_table (4)|localPosition.x:0052.77389|localPosition.y:-0029.42721|localPosition.z:-0028.74940|localRotation.x:-0000.65328|localRotation.y:0000.27060|localRotation.z:0000.27060|localRotation.w:0000.65328|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:586|prop_table (3)|localPosition.x:0046.74389|localPosition.y:-0029.25195|localPosition.z:-0015.04940|localRotation.x:-0000.05775|localRotation.y:-0000.93397|localRotation.z:-0000.17673|localRotation.w:0000.30518|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:586|prop_table (2)|localPosition.x:0046.66589|localPosition.y:-0029.42721|localPosition.z:-0010.24840|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:668|decal_logo_armory|localPosition.x:0044.85389|localPosition.y:-0027.61095|localPosition.z:-0000.11440|localRotation.x:0000.00000|localRotation.y:-0000.70711|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:586|prop_table (1)|localPosition.x:0048.81709|localPosition.y:-0029.42721|localPosition.z:-0019.65884|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:586|prop_table|localPosition.x:0036.94489|localPosition.y:-0029.42721|localPosition.z:-0017.58640|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:566|prop_gear_large|localPosition.x:-0019.72511|localPosition.y:-0029.68495|localPosition.z:-0014.69140|localRotation.x:-0000.73034|localRotation.y:-0000.01667|localRotation.z:0000.01558|localRotation.w:0000.68270|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:566|prop_gear_large (1)|localPosition.x:-0015.56711|localPosition.y:-0029.70395|localPosition.z:-0028.33540|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:557|prop_desk01|localPosition.x:-0025.10311|localPosition.y:-0029.40595|localPosition.z:0023.18860|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:575|prop_lamp|localPosition.x:-0026.44903|localPosition.y:-0025.92489|localPosition.z:0034.28460|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:575|prop_lamp (1)|localPosition.x:-0021.36511|localPosition.y:-0025.92489|localPosition.z:0034.28460|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:575|prop_lamp (2)|localPosition.x:-0016.26511|localPosition.y:-0025.92489|localPosition.z:0034.28460|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:557|prop_desk01|localPosition.x:-0027.71608|localPosition.y:-0029.42639|localPosition.z:-0016.36940|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:556|prop_cyberport|localPosition.x:-0034.53611|localPosition.y:-0027.76395|localPosition.z:0002.56960|localRotation.x:0000.00000|localRotation.y:0000.70711|localRotation.z:0000.70711|localRotation.w:0000.00000|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:574|prop_healingbed|localPosition.x:-0028.18811|localPosition.y:-0029.43995|localPosition.z:-0020.45040|localRotation.x:-0000.49991|localRotation.y:-0000.50009|localRotation.z:-0000.49991|localRotation.w:0000.50009|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:541|prop_chair02|localPosition.x:0019.52089|localPosition.y:-0031.95495|localPosition.z:-0017.37440|localRotation.x:-0000.37202|localRotation.y:-0000.60139|localRotation.z:-0000.60118|localRotation.w:0000.37215|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:586|prop_table|localPosition.x:0017.83689|localPosition.y:-0031.96195|localPosition.z:-0017.89440|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:541|prop_chair02|localPosition.x:0068.97789|localPosition.y:-0029.42533|localPosition.z:-0008.21740|localRotation.x:-0000.70479|localRotation.y:0000.05567|localRotation.z:0000.05565|localRotation.w:0000.70504|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:577|prop_microscope|localPosition.x:0009.86389|localPosition.y:-0029.42723|localPosition.z:0044.22060|localRotation.x:-0000.06163|localRotation.y:0000.70442|localRotation.z:0000.70442|localRotation.w:0000.06163|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:547|prop_clothes|localPosition.x:0027.48889|localPosition.y:-0029.43995|localPosition.z:0040.20460|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0016.26871|localScale.y:0016.26809|localScale.z:0016.26869
constIndex:567|prop_gear_small|localPosition.x:-0007.45311|localPosition.y:-0029.40095|localPosition.z:0053.22260|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:566|prop_gear_large|localPosition.x:-0006.77762|localPosition.y:-0029.38995|localPosition.z:0053.46484|localRotation.x:-0000.70711|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:532|prop_beaker_holder|localPosition.x:0012.97000|localPosition.y:-0028.42005|localPosition.z:0056.96200|localRotation.x:0000.00000|localRotation.y:0000.98834|localRotation.z:0000.00000|localRotation.w:0000.15227|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:577|prop_microscope|localPosition.x:0012.06200|localPosition.y:-0028.48395|localPosition.z:0056.79300|localRotation.x:-0000.18301|localRotation.y:0000.68301|localRotation.z:0000.68301|localRotation.w:0000.18301|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:582|prop_shelves|localPosition.x:-0027.71111|localPosition.y:-0029.43595|localPosition.z:-0001.34040|localRotation.x:-0000.50000|localRotation.y:-0000.50000|localRotation.z:-0000.50000|localRotation.w:0000.50000|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:593|text_decalStopDSS1|localPosition.x:0049.95300|localPosition.y:-0027.21300|localPosition.z:-0013.62200|localRotation.x:0000.00000|localRotation.y:0000.70711|localRotation.z:0000.00000|localRotation.w:-0000.70711|localScale.x:0000.06000|localScale.y:0000.04500|localScale.z:0001.00000
constIndex:583|prop_skeleton|localPosition.x:0069.24400|localPosition.y:-0029.39200|localPosition.z:0003.17100|localRotation.x:0000.00000|localRotation.y:-0000.98260|localRotation.z:0000.00000|localRotation.w:0000.18574|localScale.x:0001.00000|localScale.y:0001.10000|localScale.z:0001.10000
constIndex:603|us_paperlog|localPosition.x:0046.89800|localPosition.y:-0029.41700|localPosition.z:0033.28900|localRotation.x:-0000.63312|localRotation.y:0000.31490|localRotation.z:0000.31490|localRotation.w:0000.63312|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:536|prop_bonepile1|localPosition.x:0043.91000|localPosition.y:-0032.00000|localPosition.z:0012.12600|localRotation.x:0000.00000|localRotation.y:0000.44685|localRotation.z:0000.00000|localRotation.w:0000.89461|localScale.x:0001.10000|localScale.y:0001.00000|localScale.z:0001.10000
constIndex:687|decal_blood_splat|localPosition.x:0030.18600|localPosition.y:-0029.43000|localPosition.z:0044.56700|localRotation.x:-0000.50000|localRotation.y:0000.50000|localRotation.z:0000.50000|localRotation.w:0000.50000|localScale.x:0000.50000|localScale.y:0001.00000|localScale.z:0000.50000
constIndex:674|decal_logo_radhazard|localPosition.x:0025.73000|localPosition.y:-0027.87800|localPosition.z:0037.12500|localRotation.x:0000.00000|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0001.00000|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:687|decal_blood_splat (1)|localPosition.x:0031.40100|localPosition.y:-0029.43000|localPosition.z:0045.47900|localRotation.x:0000.00000|localRotation.y:0000.70711|localRotation.z:0000.70711|localRotation.w:0000.00000|localScale.x:0000.50000|localScale.y:0001.00000|localScale.z:0000.50000
constIndex:681|decal_postergenetics|localPosition.x:0043.55469|localPosition.y:-0028.05100|localPosition.z:-0019.16700|localRotation.x:0000.00000|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0001.00000|localScale.x:0000.90000|localScale.y:0002.00000|localScale.z:0001.00000
constIndex:536|prop_bonepile1|localPosition.x:0045.59500|localPosition.y:-0029.44000|localPosition.z:-0015.15600|localRotation.x:0000.00000|localRotation.y:-0000.28826|localRotation.z:0000.00000|localRotation.w:0000.95755|localScale.x:0001.10000|localScale.y:0001.00000|localScale.z:0001.10000
constIndex:666|decal_bloodsplat2|localPosition.x:0043.81415|localPosition.y:-0029.44000|localPosition.z:-0012.14887|localRotation.x:0000.00000|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0001.00000|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:541|prop_chair02|localPosition.x:0046.78400|localPosition.y:-0029.44000|localPosition.z:-0007.21200|localRotation.x:-0000.24381|localRotation.y:-0000.66374|localRotation.z:-0000.66374|localRotation.w:0000.24381|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:541|prop_chair02 (1)|localPosition.x:0045.74700|localPosition.y:-0029.44000|localPosition.z:-0007.03200|localRotation.x:0000.02588|localRotation.y:-0000.70663|localRotation.z:-0000.70663|localRotation.w:-0000.02588|localScale.x:0000.03980|localScale.y:0000.03980|localScale.z:0000.03980
constIndex:666|decal_bloodsplat2 (1)|localPosition.x:0043.30400|localPosition.y:-0029.44000|localPosition.z:-0013.01000|localRotation.x:0000.00000|localRotation.y:0001.00000|localRotation.z:0000.00000|localRotation.w:0000.00000|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:666|decal_bloodsplat2 (2)|localPosition.x:0043.33300|localPosition.y:-0029.44000|localPosition.z:-0012.40400|localRotation.x:0000.00000|localRotation.y:0000.60876|localRotation.z:0000.00000|localRotation.w:-0000.79335|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:536|prop_bonepile1 (1)|localPosition.x:0043.26089|localPosition.y:-0029.44000|localPosition.z:-0016.23940|localRotation.x:0000.00000|localRotation.y:0000.18863|localRotation.z:0000.00000|localRotation.w:0000.98205|localScale.x:0001.10000|localScale.y:0001.00000|localScale.z:0001.10000
constIndex:603|us_paperlog|localPosition.x:0037.42380|localPosition.y:-0028.39200|localPosition.z:-0017.76030|localRotation.x:0000.29964|localRotation.y:-0000.64048|localRotation.z:-0000.64048|localRotation.w:-0000.29964|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:668|decal_logo_armory|localPosition.x:0044.79400|localPosition.y:-0027.47533|localPosition.z:-0000.05886|localRotation.x:0000.00000|localRotation.y:-0000.70711|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:536|prop_bonepile1|localPosition.x:0038.25300|localPosition.y:-0029.44000|localPosition.z:-0007.81700|localRotation.x:0000.00000|localRotation.y:-0000.86867|localRotation.z:0000.00000|localRotation.w:0000.49540|localScale.x:0001.10000|localScale.y:0001.00000|localScale.z:0001.10000
constIndex:592|text_decal|localPosition.x:-0014.07000|localPosition.y:-0025.19400|localPosition.z:-0000.88200|localRotation.x:0000.00000|localRotation.y:0000.70711|localRotation.z:0000.00000|localRotation.w:-0000.70711|localScale.x:0000.70000|localScale.y:0000.70000|localScale.z:0000.80000
constIndex:528|prop_grate1_2|localPosition.x:-0002.54100|localPosition.y:-0030.67900|localPosition.z:-0014.08000|localRotation.x:0000.00000|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0001.00000|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:527|prop_grate1_1|localPosition.x:0010.21500|localPosition.y:-0026.88000|localPosition.z:-0008.92300|localRotation.x:-0000.50000|localRotation.y:-0000.50000|localRotation.z:-0000.50000|localRotation.w:0000.50000|localScale.x:0001.00000|localScale.y:0001.00000|localScale.z:0001.00000
constIndex:593|text_decalStopDSS1|localPosition.x:0006.93800|localPosition.y:-0027.24200|localPosition.z:0026.87300|localRotation.x:0000.00000|localRotation.y:0000.00000|localRotation.z:0000.00000|localRotation.w:0001.00000|localScale.x:0000.03000|localScale.y:0000.03000|localScale.z:0001.00000
constIndex:593|text_decalStopDSS1 (1)|localPosition.x:0031.99400|localPosition.y:-0025.60400|localPosition.z:-0001.92600|localRotation.x:0000.00000|localRotation.y:0000.70711|localRotation.z:0000.00000|localRotation.w:0000.70711|localScale.x:0000.03000|localScale.y:0000.03000|localScale.z:0001.00000
constIndex:593|text_decalStopDSS1 (2)|localPosition.x:0006.33800|localPosition.y:-0027.09200|localPosition.z:-0011.51300|localRotation.x:0000.00000|localRotation.y:0001.00000|localRotation.z:0000.00000|localRotation.w:0000.00000|localScale.x:0000.06000|localScale.y:0000.06000|localScale.z:0001.00000
constIndex:593|text_decalStopDSS1|localPosition.x:0017.75200|localPosition.y:-0027.67800|localPosition.z:-0033.11200|localRotation.x:0000.00000|localRotation.y:0000.92388|localRotation.z:0000.00000|localRotation.w:-0000.38268|localScale.x:0000.01000|localScale.y:0000.00800|localScale.z:0001.00000
constIndex:593|text_decalStopDSS1 (3)|localPosition.x:-0008.95711|localPosition.y:-0024.36895|localPosition.z:0006.74460|localRotation.x:0000.00000|localRotation.y:0000.70711|localRotation.z:0000.00000|localRotation.w:-0000.70711|localScale.x:0000.06000|localScale.y:0000.05000|localScale.z:0001.00000
